,Symbol,CIK
337,NEE,753308
338,NLSN,1492633
339,NKE,320187
340,NI,1111711
341,NSC,702165
342,NTRS,73124
343,NOC,1133421
344,NLOK,849399
345,NCLH,1513761
346,NRG,1013871
347,NUE,73309
348,NVDA,1045810
349,NVR,906163
350,ORLY,898173
351,OXY,797468
352,ODFL,878927
353,OMC,29989
354,OKE,1039684
355,ORCL,1341439
356,OTIS,1781335
357,PCAR,75362
358,PKG,75677
359,PH,76334
360,PAYX,723531
361,PAYC,1590955
362,PYPL,1633917
363,PNR,77360
364,PBCT,1378946
365,PEP,77476
366,PKI,31791
367,PRGO,1585364
368,PFE,78003
369,PM,1413329
370,PSX,1534701
371,PNW,764622
372,PXD,1038357
373,PNC,713676
374,POOL,945841
375,PPG,79879
376,PPL,922224
377,PFG,1126328
378,PG,80424
379,PGR,80661
380,PLD,1045609
381,PRU,1137774
382,PEG,788784
383,PSA,1393311
384,PHM,822416
385,PVH,78239
386,QRVO,1604778
387,PWR,1050915
388,QCOM,804328
389,DGX,1022079
390,RL,1037038
391,RJF,720005
392,RTX,101829
393,O,726728
394,REG,910606
395,REGN,872589
396,RF,1281761
397,RSG,1060391
398,RMD,943819
399,RHI,315213
400,ROK,1024478
401,ROL,84839
402,ROP,882835
403,ROST,745732
404,RCL,884887
405,SPGI,64040
406,CRM,1108524
407,SBAC,1034054
408,SLB,87347
409,STX,1137789
410,SEE,1012100
411,SRE,1032208
412,NOW,1373715
413,SHW,89800
414,SPG,1063761
415,SWKS,4127
416,SLG,1040971
417,SNA,91440
418,SO,92122
419,LUV,92380
420,SWK,93556
421,SBUX,829224
422,STT,93751
423,STE,1757898
424,SYK,310764
425,SIVB,719739
426,SYF,1601712
427,SNPS,883241
428,SYY,96021
429,TMUS,1283699
430,TROW,1113169
431,TTWO,946581
432,TPR,1116132
433,TGT,27419
434,TEL,1385157
435,FTI,1681459
436,TDY,1094285
437,TFX,96943
438,TER,97210
439,TXN,97476
440,TXT,217346
441,TMO,97745
442,TIF,98246
443,TJX,109198
444,TSCO,916365
445,TT,1466258
446,TDG,1260221
447,TRV,86312
448,TFC,92230
449,TWTR,1418091
450,TYL,860731
451,TSN,100493
452,UDR,74208
453,ULTA,1403568
454,USB,36104
455,UAA,1336917
456,UA,1336917
457,UNP,100885
458,UAL,100517
459,UNH,731766
460,UPS,1090727
461,URI,1067701
462,UHS,352915
463,UNM,5513
464,VFC,103379
465,VLO,1035002
466,VAR,203527
467,VTR,740260
468,VRSN,1014473
469,VRSK,1442145
470,VZ,732712
471,VRTX,875320
472,VIAC,813828
473,V,1403161
474,VNT,1786842
475,VNO,899689
476,VMC,1396009
477,WRB,11544
478,WAB,943452
479,WMT,104169
480,WBA,1618921
481,DIS,1744489
482,WM,823768
483,WAT,1000697
484,WEC,783325
485,WFC,72971
486,WELL,766704
487,WST,105770
488,WDC,106040
489,WU,1365135
490,WRK,1732845
491,WY,106535
492,WHR,106640
493,WMB,107263
494,WLTW,1140536
495,WYNN,1174922
496,XEL,72903
497,XRX,1770450
498,XLNX,743988
499,XYL,1524472
500,YUM,1041061
501,ZBRA,877212
502,ZBH,1136869
503,ZION,109380
504,ZTS,1555280
